,vendor_name,address_line_1,city,state,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
32,"9tofive LLC","178 Lefferts Place",Brooklyn,"New York",11238,40.680375,-73.957058,1,rooftop,178,"Lefferts Pl",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
33,"A & S Unique Builders, Corp.","8697 24th Avenue",Brooklyn,"New York",11214,40.597129,-73.991302,1,rooftop,8697,"24th Ave",,,Brooklyn,NY,"Kings County",11214,US,"City of New York"
34,"A I N Contracting Corp","476 Lake Street",Brooklyn,"New York",11223,40.592342,-73.975025,1,rooftop,476,"Lake St",,,Brooklyn,NY,"Kings County",11223,US,"City of New York"
35,"A Martin & Industries, LLC","492 Lefferts Avenue",Brooklyn,"New York",11225,40.662553,-73.944809,1,rooftop,492,"Lefferts Ave",,,Brooklyn,NY,"Kings County",11225,US,"City of New York"
36,"A Rose Grows LLC","1252 East 98th Street",Brooklyn,"New York",11236,40.641509,-73.897094,1,rooftop,1252,"E 98th St",,,Brooklyn,NY,"Kings County",11236,US,"City of New York"
37,"A&M Cleaning Service","1500 Hornell Loop",Brooklyn,"New York",11239,40.644142,-73.88032,1,rooftop,1500,"Hornell Loop",,,Brooklyn,NY,"Kings County",11239,US,"City of New York"
38,"A.J. Archer Construction & Management Corp.","1157 Bedford Avenue",Brooklyn,"New York",11216,40.683938,-73.953867,1,rooftop,1157,"Bedford Ave",,,Brooklyn,NY,"Kings County",11216,US,"City of New York"
39,"A.M.J Electric Corp","495 Flatbush Ave #35",Brooklyn,"New York",11225,40.662206,-73.961558,1,rooftop,495,"Flatbush Ave",#,35,Brooklyn,NY,"Kings County",11225,US,"City of New York"
40,"A+ Therapy LLC","9701 Shore Road",Brooklyn,"New York",11209,40.614745,-74.037323,1,rooftop,9701,"Shore Rd",,,Brooklyn,NY,"Kings County",11209,US,"City of New York"
41,"A1 Expediting Service Corp.","812 Wyckoff Ave",Brooklyn,"New York",11237,40.697946,-73.908447,1,rooftop,812,"Wyckoff Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
42,"AAA Cleaning Services Inc","1202 Ave U",Brooklyn,"New York",11229,40.598315,-73.959949,1,rooftop,1202,"Ave U",,,Brooklyn,NY,"Kings County",11229,US,"City of New York"
43,"AAA Healthsource, Inc.","2365 Nostrand Avenue",Brooklyn,"New York",11210,40.627156,-73.946781,1,rooftop,2365,"Nostrand Ave",,,Brooklyn,NY,"Kings County",11210,US,"City of New York"
44,"Aamway Service Co., Inc.","1844 83rd Street",Brooklyn,"New York",11214,40.608062,-73.999622,1,rooftop,1844,"83rd St",,,Brooklyn,NY,"Kings County",11214,US,"City of New York"
45,"Aaron Valuation Inc.","One Hanson Place",Brooklyn,"New York",11243,40.685264,-73.977664,0.96,rooftop,1,"Hanson Pl",,,Brooklyn,NY,"Kings County",11217,US,"City of New York"
46,"Aarons Law Office PLLC","1894 Fulton Street",Brooklyn,"New York",11233,40.678852,-73.92353,1,rooftop,1894,"Fulton St",,,Brooklyn,NY,"Kings County",11233,US,"City of New York"
47,"Studio A/B","333 Schermerhorn Street",Brooklyn,"New York",11217,40.687204,-73.981131,1,rooftop,333,"Schermerhorn St",,,Brooklyn,NY,"Kings County",11217,US,"City of New York"
48,"Wild Stone","1000 Dean Street, Suite 101",Brooklyn,"New York",11238,40.677805,-73.957119,1,rooftop,1000,"Dean St",Ste,101,Brooklyn,NY,"Kings County",11238,US,"City of New York"
49,"Abco Trade Inc.","1 Middleton Street #3L",Brooklyn,"New York",11206,40.700003,-73.955977,1,rooftop,1,"Middleton St",Apt,3L,Brooklyn,NY,"Kings County",11206,US,"City of New York"
50,"Aunt Butchies","8118 13th Ave",Brooklyn,"New York",11228,40.616668,-74.011427,1,rooftop,8118,"13th Ave",,,Brooklyn,NY,"Kings County",11228,US,"City of New York"
51,"Abdul Construction & Painting, Corp.","210 East 7th Street",Brooklyn,"New York",11218,40.646859,-73.973534,1,rooftop,210,"E 7th St",,,Brooklyn,NY,"Kings County",11218,US,"City of New York"
52,"Aberdeen Mechanical LLC","1788 Schenectady Avenue",Brooklyn,"New York",11234,40.62885,-73.931063,1,rooftop,1788,"Schenectady Ave",,,Brooklyn,NY,"Kings County",11234,US,"City of New York"
53,"About Real Estate NY, LLC","15 MetroTech Center, 7th floor",Brooklyn,"New York",11201,40.694036,-73.98502,1,rooftop,15,"Metrotech Ctr",Ste,7,Brooklyn,NY,"Kings County",11201,US,"City of New York"
54,"Above and Beyond Talent Acquisition, Inc.","79A Clermont Avenue",Brooklyn,"New York",11205,40.695284,-73.971087,1,rooftop,79,"Clermont Ave",,,Brooklyn,NY,"Kings County",11205,US,"City of New York"
55,"Achieve Engineering, PLLC","8023 New Utrecht Ave",Brooklyn,"New York",11214,40.611121,-74.001119,1,rooftop,8023,"New Utrecht Ave",,,Brooklyn,NY,"Kings County",11214,US,"City of New York"
56,"ACME CONTRACTING CORP.","201 Bay 43 Street",Brooklyn,"New York",11214,40.591303,-73.98909,1,rooftop,201,"Bay 43rd St",,,Brooklyn,NY,"Kings County",11214,US,"City of New York"
57,"ACR Pro Contractors Corp.","128 10th Street, Unit A",Brooklyn,"New York",11215,40.671708,-73.993693,1,range_interpolation,128,"10th St",Unit,A,Brooklyn,NY,"Kings County",11215,US,"TIGER/Line® dataset from the US Census Bureau"
58,"Act II Interiors LTD","1661 Utica Ave",Brooklyn,"New York",11234,40.63182,-73.928054,1,rooftop,1661,"Utica Ave",,,Brooklyn,NY,"Kings County",11234,US,"City of New York"
59,"Active World Solutions, Inc.","609A Fountain Avenue",Brooklyn,"New York",11208,40.665851,-73.870951,1,rooftop,609,"Fountain Ave",,,Brooklyn,NY,"Kings County",11208,US,"City of New York"
60,"Active World Solutions, Inc.","609A Fountain Avenue",Brooklyn,"New York",11208,40.665851,-73.870951,1,rooftop,609,"Fountain Ave",,,Brooklyn,NY,"Kings County",11208,US,"City of New York"
61,"Active World, LLC","609A Fountain Avenue",Brooklyn,"New York",11208,40.665851,-73.870951,1,rooftop,609,"Fountain Ave",,,Brooklyn,NY,"Kings County",11208,US,"City of New York"
62,"ACTLAB LLC","132 Atlantic Avenue",Brooklyn,"New York",11201,40.6904,-73.995514,1,rooftop,132,"Atlantic Ave",,,Brooklyn,NY,"Kings County",11201,US,"City of New York"
63,"AD Cleaning Solutions LLC","523 Kingston Ave, Ste. 3",Brooklyn,"New York",11225,40.661148,-73.942485,1,rooftop,523,"Kingston Ave",Apt,3,Brooklyn,NY,"Kings County",11225,US,"City of New York"
64,"Adam Electrical Contracting, LLC","2568 East 17th Street, Suite 101",Brooklyn,"New York",11235,40.588557,-73.9527,1,rooftop,2568,"E 17th St",Ste,101,Brooklyn,NY,"Kings County",11235,US,"City of New York"
65,"Adam's European Contracting Inc.","589 Johnson Avenue",Brooklyn,"New York",11237,40.709279,-73.923434,1,rooftop,589,"Johnson Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
66,"Adena Philips Consulting LLC","521 Greene Ave",Brooklyn,"New York",11216,40.688665,-73.95004,1,rooftop,521,"Greene Ave",,,Brooklyn,NY,"Kings County",11216,US,"City of New York"
67,"ADET Group, Inc.","100 Jay Street",Brooklyn,"New York",11201,40.702278,-73.986925,1,rooftop,100,"Jay St",,,Brooklyn,NY,"Kings County",11201,US,"City of New York"
68,"Adirondacks Protection and Security Services","416 Vermont Street",Brooklyn,"New York",11207,40.669215,-73.893414,1,rooftop,416,"Vermont St",,,Brooklyn,NY,"Kings County",11207,US,"City of New York"
69,"Adkins Cleaning & Landscaping LLC","1740 Ocean Ave Suite L-1F",Brooklyn,"New York",11230,40.6195,-73.955779,1,rooftop,1740,"Ocean Ave",Apt,L,Brooklyn,NY,"Kings County",11230,US,"City of New York"
70,"Admire Landscaping and Lawn Care LLC","950 East 81st Street",Brooklyn,"New York",11236,40.634973,-73.911614,1,rooftop,950,"E 81st St",,,Brooklyn,NY,"Kings County",11236,US,"City of New York"
71,"Adrienne Nicole Productions, LLC","300 Cadman Plaza West",Brooklyn,"New York",11201,40.695024,-73.991027,1,rooftop,300,"Cadman Plz W",,,Brooklyn,NY,"Kings County",11201,US,"City of New York"
72,"Adrienne Nicole Productions, LLC","300 Cadman Plaza West",Brooklyn,"New York",11201,40.695024,-73.991027,1,rooftop,300,"Cadman Plz W",,,Brooklyn,NY,"Kings County",11201,US,"City of New York"
73,"Advance Builders, Inc.","259 Newkirk Ave",Brooklyn,"New York",11230,40.632362,-73.970314,1,rooftop,259,"Newkirk Ave",,,Brooklyn,NY,"Kings County",11230,US,"City of New York"
74,"Advance Light And Power Electric Corp.","252 Java Street, Suite 227",Brooklyn,"New York",11222,40.731949,-73.949975,1,rooftop,252,"Java St",Ste,227,Brooklyn,NY,"Kings County",11222,US,"City of New York"
75,"Advancing Health Equity LLC","195 Willoughby Avenue",Brooklyn,"New York",11205,40.692255,-73.9642,1,rooftop,195,"Willoughby Ave",,,Brooklyn,NY,"Kings County",11205,US,"City of New York"
76,"Advantage U. Educational Consulting Services, LLC","261 New York Avenue",Brooklyn,"New York",11216,40.671006,-73.94745,1,rooftop,261,"New York Ave",,,Brooklyn,NY,"Kings County",11216,US,"City of New York"
77,"Aerospect Inc.","67 West Street",Brooklyn,"New York",11222,40.728705,-73.959203,1,rooftop,67,"West St",,,Brooklyn,NY,"Kings County",11222,US,"City of New York"
78,"Afforda Inc","966 East 34th Street",Brooklyn,"New York",11210,40.632646,-73.943903,1,rooftop,966,"E 34th St",,,Brooklyn,NY,"Kings County",11210,US,"City of New York"
79,"Affordable Locksmith & Hardware lll Inc","920 Utica Avenue",Brooklyn,"New York",11203,40.650619,-73.930457,1,rooftop,920,"Utica Ave",,,Brooklyn,NY,"Kings County",11203,US,"City of New York"
80,"AGAPE Family Therapy & Coaching LLC","495 Flatbush avenue",Brooklyn,"New York",11225,40.662206,-73.961558,1,rooftop,495,"Flatbush Ave",,,Brooklyn,NY,"Kings County",11225,US,"City of New York"
81,"Agarabi Engineering, PLLC","155 Water St",Brooklyn,"New York",11201,40.703205,-73.987762,1,rooftop,155,"Water St",,,Brooklyn,NY,"Kings County",11201,US,"City of New York"
82,"AGD Consulting, LLC","1364 East 58th Street",Brooklyn,"New York",11234,40.621143,-73.919544,1,rooftop,1364,"E 58th St",,,Brooklyn,NY,"Kings County",11234,US,"City of New York"
