,vendor_name,address_line_1,city,state,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
161,"K & S Industrial Corp.","432 Castleton Avenue","Staten Island","New York",10301,40.633778,-74.09705,1,rooftop,432,"Castleton Ave",,,"Staten Island",NY,"Richmond County",10301,US,"City of New York"
162,"K5 Corporation","1741 Richmond Terrace","Staten Island","New York",10310,40.637939,-74.12387,1,rooftop,1741,"Richmond Ter",,,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
163,"KA Investigations-Security LLC","534 Van Duzer Street","Staten Island","New York",10304,40.62694,-74.083778,1,rooftop,534,"Van Duzer St",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
164,"Katsura Environmental Landscaping Corp.","4975 Amboy Road","Staten Island","New York",10312,40.536789,-74.176527,1,rooftop,4975,"Amboy Rd",,,"Staten Island",NY,"Richmond County",10312,US,"City of New York"
165,"KES Construction Co., Inc.","15 Swan Street","Staten Island","New York",10301,40.635214,-74.076084,1,rooftop,15,"Swan St",,,"Staten Island",NY,"Richmond County",10301,US,"City of New York"
166,"Keu Architectural Studio, P.C.","68 William Street","Staten Island","New York",10304,40.6311,-74.078644,1,rooftop,68,"William St",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
167,"Kiefer & Associates, Inc.","498 Ionia Ave","Staten Island","New York",10312,40.539269,-74.189013,1,rooftop,498,"Ionia Ave",,,"Staten Island",NY,"Richmond County",10312,US,"City of New York"
168,"King Development and Consulting, Inc.","32 Savo Loop","Staten Island","New York",10309,40.522108,-74.223043,1,rooftop,32,"Savo Loop",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
169,"Kinsington Restoration Corp","576 Cary Ave","Staten Island","New York",10310,40.631994,-74.121174,1,rooftop,576,"Cary Ave",,,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
170,"Holiday Inn Express Staten Island","300 Wild Ave","Staten Island","New York",10314,40.586457,-74.190534,1,rooftop,300,"Wild Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
171,Maaco,"2089 Richmond Terr","Staten Island","New York",10302,40.64042,-74.132761,1,rooftop,2089,"Richmond Ter",,,"Staten Island",NY,"Richmond County",10302,US,"City of New York"
172,"KLK Electric Inc.","4366B Victory Blvd","Staten Island","New York",10314,40.587644,-74.197207,1,rooftop,4366,"Victory Blvd",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
173,"KMK CONSULTING LLC","143 Darlington Ave","Staten Island","New York",10312,40.537737,-74.190215,1,rooftop,143,"Darlington Ave",,,"Staten Island",NY,"Richmond County",10312,US,"City of New York"
174,"KVP Construction Corp.","6939 Amboy Road","Staten Island","New York",10309,40.517071,-74.232363,1,rooftop,6939,"Amboy Rd",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
175,"LEEMAB Management Services","5 Ramsey Pl","Staten Island","New York",10304,40.618857,-74.086803,1,rooftop,5,"Ramsey Pl",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
176,"Lilihouse Management Inc.","242 Talbot Place","Staten Island","New York",10304,40.619791,-74.074957,1,rooftop,242,"Talbot Pl",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
177,"Linear Contracting Inc","24 Roosevelt Street","Staten Island","New York",10304,40.605679,-74.091705,1,rooftop,24,"Roosevelt St",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
178,"Little Smarties Corp","329 Norway Ave","Staten Island","New York",10305,40.590691,-74.076629,1,rooftop,329,"Norway Ave",,,"Staten Island",NY,"Richmond County",10305,US,"City of New York"
179,"LMC Trucking Corp.","333 Chelsea Road","Staten Island","New York",10314,40.610496,-74.188865,1,rooftop,333,"Chelsea Rd",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
180,"M & M Construction Technology Inc.","661 Pelton Avenue","Staten Island","New York",10310,40.626001,-74.108178,1,rooftop,661,"Pelton Ave",,,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
181,"M&M Control Wiring & Electrical Inc","2952 Richmond Terrace","Staten Island","New York",10303,40.636723,-74.158517,1,rooftop,2952,"Richmond Ter",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
182,"M. Barletto Maintenance, LLC","1110 South Avenue","Staten Island","New York",10314,40.613817,-74.176828,1,rooftop,1110,"South Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
183,"M6 Engineering PC","360 New Dorp Lane","Staten Island","New York",10306,40.57083,-74.110674,1,rooftop,360,"New Dorp Ln",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
184,"MAC Contracting of S.I. Inc.","620 Sharrots Rd, SI, NY 10309","Staten Island","New York",10309,40.538774,-74.240308,1,range_interpolation,620,"Sharrotts Rd",,,"Staten Island",NY,"Richmond County",10309,US,"TIGER/Line® dataset from the US Census Bureau"
185,"Mack Electrical Inc.","516 Industrial Loop","Staten Island","New York",10309,40.548305,-74.231381,1,rooftop,516,"Industrial Loop",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
186,"Majestic Vending & Services, Inc.","45 Van Duzer Street","Staten Island","New York",10301,40.636895,-74.077292,1,rooftop,45,"Van Duzer St",,,"Staten Island",NY,"Richmond County",10301,US,"City of New York"
187,"Marfi Contracting Corp.","539 Cary Avenue","Staten Island","New York",10310,40.632503,-74.119849,1,rooftop,539,"Cary Ave",,,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
188,"Martin Treat Group, LLC","175 Weed Avenue","Staten Island","New York",10306,40.563641,-74.107666,1,rooftop,175,"Weed Ave",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
